ID	Taxonomy	16S-Behnsen-MY-1	16S-Behnsen-MY-10	16S-Behnsen-MY-11	16S-Behnsen-MY-12	16S-Behnsen-MY-13	16S-Behnsen-MY-14	16S-Behnsen-MY-15	16S-Behnsen-MY-16	16S-Behnsen-MY-17	16S-Behnsen-MY-18	16S-Behnsen-MY-19	16S-Behnsen-MY-2	16S-Behnsen-MY-20	16S-Behnsen-MY-21	16S-Behnsen-MY-22	16S-Behnsen-MY-23	16S-Behnsen-MY-24	16S-Behnsen-MY-25	16S-Behnsen-MY-26	16S-Behnsen-MY-27	16S-Behnsen-MY-28	16S-Behnsen-MY-29	16S-Behnsen-MY-3	16S-Behnsen-MY-30	16S-Behnsen-MY-31	16S-Behnsen-MY-32	16S-Behnsen-MY-33	16S-Behnsen-MY-34	16S-Behnsen-MY-35	16S-Behnsen-MY-36	16S-Behnsen-MY-37	16S-Behnsen-MY-38	16S-Behnsen-MY-39	16S-Behnsen-MY-4	16S-Behnsen-MY-40	16S-Behnsen-MY-41	16S-Behnsen-MY-42	16S-Behnsen-MY-43	16S-Behnsen-MY-44	16S-Behnsen-MY-45	16S-Behnsen-MY-46	16S-Behnsen-MY-47	16S-Behnsen-MY-48	16S-Behnsen-MY-49	16S-Behnsen-MY-5	16S-Behnsen-MY-50	16S-Behnsen-MY-51	16S-Behnsen-MY-52	16S-Behnsen-MY-53	16S-Behnsen-MY-54	16S-Behnsen-MY-55	16S-Behnsen-MY-56	16S-Behnsen-MY-57	16S-Behnsen-MY-58	16S-Behnsen-MY-59	16S-Behnsen-MY-6	16S-Behnsen-MY-60	16S-Behnsen-MY-61	16S-Behnsen-MY-62	16S-Behnsen-MY-63	16S-Behnsen-MY-64	16S-Behnsen-MY-65	16S-Behnsen-MY-66	16S-Behnsen-MY-67	16S-Behnsen-MY-68	16S-Behnsen-MY-69	16S-Behnsen-MY-7	16S-Behnsen-MY-8	16S-Behnsen-MY-9	16S-Negative-Control-sample2	16S-Negative-Ctrl-2-Underhill	16S-Positive-Ctrl-2-Underhill
ASV 1	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	648	4877	6274	4756	3870	2216	2922	2895	1757	1995	1766	2820	2721	2383	1792	4829	1226	2746	2837	1022	701	416	2514	808	1794	784	3069	1445	3684	3519	4925	6337	3363	1633	891	235	486	210	70	1	1	3	328	9	797	2	16	0	55	4	0	1	0	0	1	1288	6	1	986	2	21	102	1962	626	2656	808	5149	4862	6151	0	0	0
ASV 2	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Salmonella ; s__ NA	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	3	1	0	2	4	3	1676	2538	1	4781	5119	4823	708	4676	6623	2840	5672	7144	6059	0	4282	5622	5383	4306	4975	4223	4106	3844	3704	4370	0	0	0	0	0	29
ASV 3	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	132	2804	2223	648	409	891	994	1086	1973	2583	3240	521	3746	2111	1723	1891	2053	1441	1244	11	6	63	2025	443	640	498	914	291	2756	2507	2697	3387	3523	656	792	1232	358	1	363	3	6	3	4317	4844	1339	634	2623	521	3944	0	3	5	0	57	49	2359	3	0	172	1	6	723	1146	1502	970	160	2586	1643	3118	0	0	0
ASV 4	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	628	5189	4286	1008	765	823	1056	1133	2167	2762	2954	997	487	1990	2011	151	809	36	1052	36	136	161	1284	1442	127	1691	422	1065	3388	3080	3779	5170	2707	1086	243	568	764	425	401	1	0	0	2	1	1016	1	0	2	69	1	1	0	0	0	1	1569	0	1	1	0	0	0	0	0	0	1	4323	3759	5190	0	0	0
ASV 5	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Dubosiella ; s__ newyorkensis	0	0	1	1593	902	1017	1288	1583	1504	1710	1302	0	1782	1568	2	1	0	1	1	0	0	115	1	5876	5842	5852	5405	6424	941	940	1398	1903	590	0	3	3	1	0	0	0	0	0	0	0	276	0	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ASV 6	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Streptococcaceae ; g__ Lactococcus ; s__ lactis	0	0	0	1	0	1	0	15	5	0	1	0	1	0	1110	1071	1566	884	611	804	683	874	0	574	609	584	342	1018	0	0	2	0	0	1	587	647	727	252	1317	4635	5908	4843	5	2	1	0	3	0	34	7927	1461	59	688	2792	3094	0	328	1097	2075	488	2	0	0	0	0	0	0	0	0	0	0	0
ASV 7	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Bacteroidaceae ; g__ Bacteroides ; s__ thetaiotaomicron	220	197	282	46	37	48	83	36	856	314	247	78	3	37	801	130	1340	45	1500	21	189	471	154	181	27	176	100	555	317	89	162	131	29	405	205	165	178	238	1089	6367	3673	4199	2	0	158	2	0	283	37	2	1	3	2	2	2	84	4990	8	21	4974	2789	133	12	0	25	0	185	241	232	0	0	0
ASV 8	k__Bacteria ; p__ Verrucomicrobiota ; c__ Verrucomicrobiae ; o__ Verrucomicrobiales ; f__ Akkermansiaceae ; g__ Akkermansia ; s__ muciniphila	252	1	3	987	662	1032	972	1172	744	911	870	8	1538	604	1420	2325	2577	2034	1754	839	1044	1335	10	1607	620	1270	336	1616	638	675	395	647	215	0	1	2	0	0	1	0	4	0	1	0	136	0	0	1	0	0	1	0	0	0	0	0	0	0	37	1	0	2	0	0	2	0	0	2	0	0	1	0
ASV 9	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	29	102	115	1475	762	607	826	787	1127	1413	1191	168	1824	1597	22	42	26	54	39	585	452	170	156	106	183	103	496	155	2115	2218	2906	3602	1910	25	8	0	1	1	1	0	0	0	61	0	226	0	0	0	0	0	0	0	0	0	0	55	0	0	25	0	8	17	2	4	4	1	115	68	83	0	0	0
ASV 10	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ ilealis	0	0	3	16	10	37	35	80	57	106	106	3	237	38	158	141	201	156	98	526	555	379	17	1080	1555	1146	1168	1230	39	15	53	27	75	74	867	838	1435	731	1051	33	11	10	1119	801	38	554	68	903	1615	37	3	385	134	845	566	102	0	1	23	0	9	359	29	529	105	1	1	0	1	0	0	0
ASV 11	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Escherichia-Shigella ; s__ NA	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	2	0	0	0	1	0	0	0	1	0	2	5517	3565	8201	3063	3	0	0	5	4	6	3	1	1	0	0	0	0	0	1	1	0	0	1
ASV 12	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Salmonella ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	200	296	0	778	901	835	76	1097	1566	992	1019	1168	919	0	647	908	932	677	829	781	656	625	566	724	0	0	0	0	0	113
ASV 13	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Enterococcaceae ; g__ Enterococcus ; s__ NA	0	0	0	0	1	0	7	2	1	0	1	0	0	1	6	8	5	1	2	3	36	8	3	5	12	1	9	23	0	2	7	0	1	1	1	1	3	0	0	22	1	260	0	4	0	776	1619	44	37	1	378	1557	0	1151	3	0	114	1573	195	0	1078	1799	1416	1609	1176	2252	0	0	1	0	0	0
ASV 14	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Salmonella ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	206	371	0	845	874	848	98	748	1078	445	884	1155	1052	0	680	962	963	685	897	753	688	648	626	788	0	0	0	0	0	0
ASV 15	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Burkholderiales ; f__ Sutterellaceae ; g__ Parasutterella ; s__ excrementihominis	356	53	10	402	373	386	519	401	273	308	121	174	414	233	465	788	707	583	489	366	679	830	227	124	95	55	53	59	395	322	916	609	130	284	177	222	284	284	514	1	0	0	91	1	268	0	0	2	29	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	74	37	63	0	0	0
ASV 16	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	2	18	3	17	12	48	22	47	47	0	89	15	52	44	90	53	38	296	332	164	9	592	871	618	615	712	6	6	23	4	33	29	551	480	744	424	585	20	12	7	652	407	15	345	56	518	914	26	0	226	108	286	192	52	0	3	10	0	5	185	11	196	44	3	1	1	1	1	0	0
ASV 17	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	225	0	0	0	0	0	1	18	19	1	0	169	0	0	0	0	1	0	0	778	617	622	138	1	1	0	0	1	0	0	1	0	0	269	1055	1247	1785	1107	2476	0	2	0	1	0	114	2	1	0	193	0	0	0	0	0	0	159	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0
ASV 18	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	0	6	5	16	6	27	5	17	18	1	35	8	46	46	80	46	37	210	199	125	3	343	567	433	479	417	4	3	5	3	7	28	312	322	465	244	397	13	7	1	443	358	12	233	46	427	670	10	1	186	49	286	197	37	1	1	7	1	3	137	6	80	35	0	0	0	2	0	0	0
ASV 19	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	0	0	1	859	627	774	556	568	0	0	0	0	0	0	0	0	0	0	0	1	0	55	0	975	537	828	709	1253	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV 20	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	381	0	1	917	658	726	920	627	85	0	0	566	0	0	0	0	0	0	0	0	0	55	671	0	0	0	0	1	0	0	0	0	0	646	0	0	0	0	0	0	0	0	1	0	526	0	0	0	0	0	0	0	0	0	0	673	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
ASV 21	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	1	11	4	16	6	22	1	1	0	0	1	0	0	0	1	1	0	164	200	121	8	345	537	382	418	392	1	0	0	0	0	29	315	311	447	233	370	13	7	5	412	323	11	249	29	369	667	21	1	141	46	3	0	22	0	0	0	1	1	115	3	17	27	0	0	0	0	0	0	0
ASV 22	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	136	0	0	0	0	0	0	8	8	0	0	80	0	1	0	0	1	0	0	646	558	553	64	0	1	0	0	0	0	0	1	0	0	142	638	709	1042	643	1236	1	1	1	0	0	68	0	0	0	86	0	1	0	0	0	0	108	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV 23	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	9	125	86	54	39	94	122	95	164	232	280	31	317	153	161	174	175	133	98	0	0	6	141	45	81	61	103	34	213	213	232	251	276	47	60	97	27	0	27	0	0	0	160	146	87	29	119	32	283	0	0	0	0	6	3	179	0	0	15	0	0	45	132	127	71	10	100	65	126	0	0	0
ASV 24	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	100	0	0	0	0	0	0	8	5	1	0	86	0	0	2	0	0	0	0	666	591	604	60	0	1	0	1	0	0	2	1	0	0	120	491	630	815	449	1113	0	0	0	0	0	65	1	0	0	82	0	0	0	0	0	0	75	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ASV 25	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	2	15	2	0	0	0	0	3	1	0	0	0	0	3	526	386	320	398	613	341	137	383	0	1	239	1	344	281	0	4	1	0	0	0	156	273	633	486	257	0	1	0	0	0	1	0	0	0	21	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	13	0	0	0
ASV 26	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Enterococcaceae ; g__ Enterococcus ; s__ NA	1	0	0	0	2	0	8	1	0	0	0	0	0	0	1	3	1	0	0	4	11	0	0	0	1	1	1	5	0	1	2	0	1	3	0	0	0	0	0	8	1	86	0	0	0	91	598	22	11	2	161	591	0	370	0	0	34	144	17	0	390	648	542	655	460	806	0	0	3	0	0	0
ASV 27	k__Bacteria ; p__ Actinobacteriota ; c__ Coriobacteriia ; o__ Coriobacteriales ; f__ Atopobiaceae ; g__ Coriobacteriaceae UCG-002 ; s__ NA	95	0	0	0	0	1	1	19	17	0	0	129	0	0	0	0	0	0	0	312	360	158	127	0	0	0	0	0	0	1	0	0	0	3	470	305	245	493	1	622	785	725	79	2	161	0	1	0	48	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV 28	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelatoclostridiaceae ; g__ Erysipelatoclostridium ; s__ NA	2	15	7	40	16	42	28	36	6	11	24	6	0	41	354	537	537	361	279	146	229	203	4	184	180	172	114	521	2	8	12	9	2	0	313	490	325	0	0	0	0	0	1	0	5	0	1	0	28	0	0	0	0	0	0	4	0	0	5	0	19	83	0	0	0	0	9	2	15	0	0	0
ASV 29	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	1	2	3	2	2	0	1	1	388	529	510	0	49	318	0	1	0	0	0	0	3	0	1	3	0	4	0	2	711	543	803	987	464	0	0	8	0	1	0	0	0	0	0	0	50	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0
ASV 30	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Rikenellaceae ; g__ Alistipes ; s__ NA	0	0	0	119	549	387	288	53	267	619	605	0	36	505	1	0	0	0	0	0	0	6	0	1	0	2	0	0	359	382	577	355	232	0	0	0	0	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ASV 31	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	1	4	1	9	7	15	6	22	11	0	28	8	60	51	89	44	43	128	83	75	2	210	304	216	256	211	8	1	5	1	11	15	196	160	269	158	211	5	0	7	276	238	1	139	21	194	394	15	1	98	36	235	210	24	0	0	10	1	3	65	7	80	21	1	0	0	1	0	0	0
ASV 32	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridiales ; f__ Clostridiaceae ; g__ Clostridium sensu stricto 1 ; s__ NA	9	54	123	14	25	14	28	12	26	10	16	46	18	4	90	58	197	68	70	2	2	3	152	127	177	162	364	162	79	44	65	45	83	85	15	12	12	14	10	0	0	0	255	87	181	431	9	460	8	0	0	0	0	30	0	407	0	0	7	0	2	12	0	5	3	0	178	88	107	0	0	0
ASV 33	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Bacteroidaceae ; g__ Bacteroides ; s__ NA	30	36	35	8	5	6	12	6	106	44	25	13	1	6	94	13	135	3	183	4	24	44	16	14	0	21	12	62	33	10	14	15	4	53	13	23	17	26	118	690	438	471	0	0	23	0	0	32	6	1	0	0	0	0	0	9	547	0	4	607	330	11	3	0	2	0	25	28	30	0	0	0
ASV 34	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	199	0	0	436	410	440	520	324	58	0	0	321	0	0	0	0	0	0	0	0	0	35	357	0	0	0	1	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 35	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	14	268	206	15	6	11	16	17	8	2	1	52	3	4	142	159	167	124	115	2	1	2	202	9	13	7	20	3	5	5	6	2	3	53	1	1	0	0	3	0	0	0	323	385	95	50	217	59	334	0	0	0	0	8	6	230	0	0	13	0	0	64	0	3	0	0	235	127	294	0	0	0
ASV 36	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	0	4	1	14	5	10	3	11	10	1	14	4	23	23	40	30	22	64	45	33	4	171	273	216	226	223	1	0	1	0	3	11	183	157	259	128	210	3	0	1	237	201	7	141	15	221	377	12	0	100	31	127	112	21	0	1	5	0	0	40	3	4	8	0	0	1	0	0	0	0
