ID	Taxonomy	ITS-Behnsen-MY-1	ITS-Behnsen-MY-10	ITS-Behnsen-MY-11	ITS-Behnsen-MY-12	ITS-Behnsen-MY-13	ITS-Behnsen-MY-14	ITS-Behnsen-MY-15	ITS-Behnsen-MY-16	ITS-Behnsen-MY-17	ITS-Behnsen-MY-18	ITS-Behnsen-MY-19	ITS-Behnsen-MY-2	ITS-Behnsen-MY-20	ITS-Behnsen-MY-21	ITS-Behnsen-MY-22	ITS-Behnsen-MY-23	ITS-Behnsen-MY-24	ITS-Behnsen-MY-25	ITS-Behnsen-MY-26	ITS-Behnsen-MY-27	ITS-Behnsen-MY-28	ITS-Behnsen-MY-29	ITS-Behnsen-MY-3	ITS-Behnsen-MY-30	ITS-Behnsen-MY-31	ITS-Behnsen-MY-32	ITS-Behnsen-MY-33	ITS-Behnsen-MY-34	ITS-Behnsen-MY-35	ITS-Behnsen-MY-36	ITS-Behnsen-MY-37	ITS-Behnsen-MY-38	ITS-Behnsen-MY-39	ITS-Behnsen-MY-4	ITS-Behnsen-MY-40	ITS-Behnsen-MY-41	ITS-Behnsen-MY-42	ITS-Behnsen-MY-43	ITS-Behnsen-MY-44	ITS-Behnsen-MY-45	ITS-Behnsen-MY-46	ITS-Behnsen-MY-47	ITS-Behnsen-MY-48	ITS-Behnsen-MY-49	ITS-Behnsen-MY-5	ITS-Behnsen-MY-50	ITS-Behnsen-MY-51	ITS-Behnsen-MY-52	ITS-Behnsen-MY-53	ITS-Behnsen-MY-54	ITS-Behnsen-MY-55	ITS-Behnsen-MY-56	ITS-Behnsen-MY-57	ITS-Behnsen-MY-58	ITS-Behnsen-MY-59	ITS-Behnsen-MY-6	ITS-Behnsen-MY-60	ITS-Behnsen-MY-61	ITS-Behnsen-MY-62	ITS-Behnsen-MY-63	ITS-Behnsen-MY-64	ITS-Behnsen-MY-65	ITS-Behnsen-MY-66	ITS-Behnsen-MY-67	ITS-Behnsen-MY-68	ITS-Behnsen-MY-69	ITS-Behnsen-MY-7	ITS-Behnsen-MY-8	ITS-Behnsen-MY-9	ITS-Negative-Control-sample2	ITS-Negative-Ctrl-2-Underhill	ITS-Positive-Ctrl-2-Underhill
ASV 1	k__Fungi ; p__Ascomycota ; c__Saccharomycetes ; o__Saccharomycetales ; f__Saccharomycetales_fam_Incertae_sedis ; g__Candida ; s__albicans	1	6	0	3648	1	2	2	2	3	1	0	0	0	0	2	0	0	0	0	3	0	1	2	1	0	1	1	7	1075	0	1	1	4	1	3	123	13	6728	1643	2626	43	10	3	8	0	8	38692	29752	2634	23314	45820	28044	41693	34762	25322	5	5505	51178	9317	28756	23750	55545	10658	25013	42572	22624	1	2	2	29618	0	1
ASV 2	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__cibarius	20047	10319	10384	18	23	17	15	11	25321	10741	5582	22524	10763	6341	2969	5600	16	6	15	14	5981	54	15946	34	2072	19	13	16	22310	17661	18081	15612	15197	14471	10	524	22	6	13	6859	14	4999	14591	12434	19069	760	4562	6	10444	6	0	1	1	4	0	29153	2	1	1	1	1	4102	8702	11742	9674	3232	8889	10610	12838	1	0	0
ASV 3	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Capnodiales ; f__Cladosporiaceae ; g__Cladosporium ; s__cladosporioides	13109	5501	7390	5	960	5	5	4	11249	6544	3837	7081	6248	6080	3	1	2	6	7	7	3	3839	9097	8	3	2	2	5	2932	742	1875	1410	1022	8031	2	299	6	8	3	2	2	3	3564	10953	6645	9085	3084	679	7089	2	2	1	0	2	1	9452	1	5568	1	2	0	1	739	2676	2003	1	4171	5570	9052	0	0	0
ASV 4	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	1	4	254	1748	1446	2	75	4029	4	329	691	506	947	2491	3167	80	1273	1259	1407	1740	947	0	214	0	1807	0	2373	1798	1273	173	211	547	3455	16	2	1704	1956	51	0	4	1946	54	825	1415	0	4179	2138	1627	4250	2422	1543	1	2023	9	1	888	3680	1405	1530	2	2540	154	112	0	1507	1842	358	1262	241	1154	0	0
ASV 5	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	8113	2242	7239	1	3	1	0	0	805	963	3710	3459	917	257	0	1	0	3	1	1	3	2	6295	0	0	0	3	0	1181	289	717	353	1134	9661	1	3	0	0	0	0	0	0	0	8	1179	0	0	0	32	0	0	0	0	0	90	2161	0	0	0	0	0	0	324	0	47	0	4288	1420	11793	0	0	0
ASV 6	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Pleosporaceae ; g__Alternaria ; s__alternata	2342	1	1689	0	2	2	1	1	1742	2188	256	1010	1080	19	3	0	1	1	2	1	2	0	1189	5	5	1	1	2	3420	6346	1731	1832	3812	1657	1	75	2	1399	1	0	0	1	851	871	1822	0	0	0	1299	0	0	2	0	1	1	1461	1	1458	0	0	1	0	6415	2043	0	0	1024	7949	1251	0	0	377
ASV 7	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Trichocomaceae ; g__Talaromyces ; s__stollii	3739	1469	1501	1	2	2	1	1	2956	745	1332	4012	3864	426	0	1	0	1	2	2	2	1	4653	0	0	0	1	0	0	0	763	551	1	4898	0	50	1	0	1	0	0	0	652	4345	2399	1	0	0	1097	1	0	2	0	0	0	9873	0	0	0	0	0	0	0	780	0	0	1356	857	1972	0	0	0
ASV 8	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Didymellaceae ; g__Ascochyta ; s__var._macrospora	6773	1225	2115	4	4	5	8	2	185	32	685	4362	1136	1097	1	0	1	3	3	8	4	3	10993	0	0	0	0	1	1	0	2	0	2	5221	2	26	4	3	4	1	1	1	2955	320	2507	2	1	2	550	1	0	1	0	0	0	7249	0	0	1	1	0	0	1	0	0	0	2829	1089	2786	0	0	0
ASV 9	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Capnodiales ; f__Mycosphaerellaceae ; g__Mycosphaerella ; s__tassiana	3685	3143	2023	2	0	1949	4	0	1426	3477	811	2117	1655	2100	2	0	1	3	0	0	1	2	1492	2	1	1	0	3	902	2504	459	365	2583	1693	0	102	6	3	2	1	0	1	3675	885	1900	1	3194	0	2149	1	0	0	0	965	0	3137	418	0	1	0	0	0	0	0	0	0	1527	741	3043	0	0	0
ASV 10	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Hypocreales ; f__Clavicipitaceae ; g__Claviceps ; NA	552	0	0	0	0	0	0	0	0	315	0	3	0	0	0	0	0	1	0	0	0	17	1	0	0	0	0	0	0	671	0	0	0	2	0	1	0	0	0	0	0	0	0	0	50533	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1021	0	0	329	0	2	0	0	0
