Samples	Mouse	Diet	Treatment	Bug	Days on other diet
MY1	UIC11	chow 1	Untreated	NA	0
MY2	UIC12	chow 1	Untreated	NA	0
MY3	UIC13	chow 1	Untreated	NA	0
MY4	UIC14	chow 1	Untreated	NA	0
MY5	UIC15	chow 1	Untreated	NA	0
MY6	UIC16	chow 1	Untreated	NA	0
MY7	UIC107	chow 1	Untreated	NA	0
MY8	UIC108	chow 1	Untreated	NA	0
MY9	UIC109	chow 1	Untreated	NA	0
MY10	UIC110	chow 1	Untreated	NA	0
MY11	UIC111	chow 1	Untreated	NA	0
MY12	UIC29	chow 1	Untreated	NA	0
MY13	UIC30	chow 1	Untreated	NA	0
MY14	UIC31	chow 1	Untreated	NA	0
MY15	UIC32	chow 1	Untreated	NA	0
MY16	UIC33	chow 1	Untreated	NA	0
MY17	UIC127	chow 1	Untreated	NA	0
MY18	UIC128	chow 1	Untreated	NA	0
MY19	UIC129	chow 1	Untreated	NA	0
MY20	UIC130	chow 1	Untreated	NA	0
MY21	UIC131	chow 1	Untreated	NA	0
MY22	UIC107	50ppm iron	Untreated	NA	7
MY23	UIC108	50ppm iron	Untreated	NA	7
MY24	UIC109	50ppm iron	Untreated	NA	7
MY25	UIC110	50ppm iron	Untreated	NA	7
MY26	UIC111	50ppm iron	Untreated	NA	7
MY27	UIC124	50ppm iron	Untreated	NA	7
MY28	UIC125	50ppm iron	Untreated	NA	7
MY29	UIC126	50ppm iron	Untreated	NA	7
MY30	UIC29	50ppm iron	Untreated	NA	11
MY31	UIC30	50ppm iron	Untreated	NA	11
MY32	UIC31	50ppm iron	Untreated	NA	11
MY33	UIC32	50ppm iron	Untreated	NA	11
MY34	UIC33	50ppm iron	Untreated	NA	11
MY35	UIC127	chow 2	Untreated	NA	7
MY36	UIC128	chow 2	Untreated	NA	7
MY37	UIC129	chow 2	Untreated	NA	7
MY38	UIC130	chow 2	Untreated	NA	7
MY39	UIC131	chow 2	Untreated	NA	7
MY40	UIC64	50ppm iron	FCZ	NA	21
MY41	UIC65	50ppm iron	FCZ	NA	21
MY42	UIC66	50ppm iron	FCZ	NA	21
MY43	UIC67	50ppm iron	FCZ	NA	21
MY44	UIC68	50ppm iron	FCZ	NA	21
MY45	UIC124	50ppm iron	Strep	NA	14
MY46	UIC125	50ppm iron	Strep	NA	14
MY47	UIC126	50ppm iron	Strep	NA	14
MY48	UIC11	chow 1	Strep+STM	Salmonella	0
MY49	UIC12	chow 1	Strep+STM	Salmonella	0
MY50	UIC13	chow 1	Strep+STM	Salmonella	0
MY51	UIC14	chow 1	Strep+STM	Salmonella	0
MY52	UIC15	chow 1	Strep+STM	Salmonella	0
MY53	UIC16	chow 1	Strep+STM	Salmonella	0
MY54	UIC64	50ppm iron	FCZ+STM	Salmonella	28
MY55	UIC65	50ppm iron	FCZ+STM	Salmonella	28
MY56	UIC66	50ppm iron	FCZ+STM	Salmonella	28
MY57	UIC68	50ppm iron	FCZ+STM	Salmonella	28
MY58	UIC107	50ppm iron	Strep+STM	Salmonella	12
MY59	UIC108	50ppm iron	Strep+STM	Salmonella	12
MY60	UIC109	50ppm iron	Strep+STM	Salmonella	12
MY61	UIC110	50ppm iron	Strep+STM	Salmonella	12
MY62	UIC111	50ppm iron	Strep+STM	Salmonella	12
MY63	UIC32	50ppm iron	Strep+STM	Salmonella	18
MY64	UIC33	50ppm iron	Strep+STM	Salmonella	18
MY65	UIC127	chow 2	Strep+STM	Salmonella	30
MY66	UIC128	chow 2	Strep+STM	Salmonella	30
MY67	UIC129	chow 2	Strep+STM	Salmonella	30
MY68	UIC130	chow 2	Strep+STM	Salmonella	30
MY69	UIC131	chow 2	Strep+STM	Salmonella	30
Negative Control 1	NA	NA	NA	NA	NA
Negative Control 2	NA	NA	NA	NA	NA
Positive Control 2	NA	NA	NA	NA	NA
